LAT,LONG,ALT
16.898363,79.601796,127.989
16.72045,79.60407,96.759
16.649153,79.604948,102.232
16.220636,79.610212,225.245
15.790904,79.615482,150.064
15.539578,79.618523,102.265
15.110488,79.731004,57.548
14.855834,79.733191,66.832
14.709524,79.734299,51.79
14.345367,79.773211,50.881
14.125227,79.774911,23.894
13.942292,79.812046,54.43
13.721792,79.849323,31.319
13.23877,79.887567,42.753
13.126747,79.888126,43.752
12.902265,79.889209,68.422
12.563117,79.890409,34.882
12.447792,79.854726,44.213
12.561351,79.854399,49.79
12.825313,79.853489,54.26
13.01286,79.852675,63.027
13.386428,79.850883,105.248
13.686398,79.885528,25.196
13.834688,79.884684,95.628
14.019585,79.883599,40.817
14.168746,79.918649,6.317
14.538725,79.987918,15.502
14.7978,80.057954,4.148
15.236502,80.12602,0
15.418647,80.160281,4.37
15.779614,80.192431,10
16.107395,80.332798,14.844
16.324228,80.402331,41.261
16.720261,80.541621,64.465
17.004438,80.57403,81.383
17.288542,80.642251,170.319
17.534881,80.638998,89.574
17.675493,80.637139,116
17.922345,80.669936,283.235
18.272874,80.665315,473.804
18.586022,80.660428,178.118
18.795521,80.693304,189.821
19.281956,80.721811,253.098
19.663562,80.75205,471.954
19.973044,80.746386,332.068
20.213459,80.741913,355.134
20.419435,80.738097,366.901
20.694809,80.769462,365.792
21.037483,80.763154,333.992
21.242425,80.759013,397.984
21.481204,80.754011,709.578
21.856188,80.74612,539.588
22.231735,80.77496,652.519
22.74248,80.800458,751.281
23.252389,80.825417,608.923
23.525413,80.893163,452.298
23.898436,80.884526,377.16
24.068664,80.917401,337.702
24.442252,80.945204,514.038
24.680285,80.976583,292.274
24.849778,80.97232,353.371
25.189511,81.001315,145.853
25.325118,80.997899,111.211
25.461573,81.031844,108.064
25.598041,81.065873,108.905
25.734524,81.099985,111.406
26.00619,81.092827,110.596
26.142728,81.127104,114.288
26.44917,81.157069,119.479
26.687708,81.188949,116.555
26.858637,81.222406,120.706
27.099093,81.33048,120.949
27.272397,81.517319,115.131
27.273467,81.593812,111.023
27.245283,82.053087,110.42
27.111179,82.246274,100.035
26.941303,82.287156,97.564
26.737838,82.366419,92.463
26.500378,82.407826,90.779
26.330552,82.410255,94.362
26.126802,82.413162,92.507
25.821661,82.455164,89.2
25.448813,82.497838,91.731
25.076362,82.540068,151.936
24.907322,82.579517,243.826
24.094717,82.62632,297.246
23.68823,82.630851,711.101
23.484881,82.633052,554.697
22.602449,82.569064,328.038
22.194201,82.536749,286.004
21.853425,82.503787,250.485
21.614582,82.469839,247.886
21.444211,82.471706,351.792
21.103303,82.475418,309.935
